component,cosine_score,EdgeAnnotation,EdgeScore,EdgeType,explained_intensity,interaction,mass_difference,name,node1,node2,property1,selected,shared interaction,shared name
-1,0.8424,,0.8424,Cosine,19050,-,-220.131,22995 (-) 19050,19050,22995,19050,FALSE,-,22995 (-) 19050
-1,0.8404,,0.8404,Cosine,22995,-,0.928,22995 (-) 23190,22995,23190,22995,FALSE,-,22995 (-) 23190
-1,0.8417,,0.8417,Cosine,19353,-,-0.928,22995 (-) 19353,19353,22995,19353,FALSE,-,22995 (-) 19353
-1,0.9087,,0.9087,Cosine,19942,-,-176.105,22995 (-) 19942,19942,22995,19942,FALSE,-,22995 (-) 19942
-1,0.8745,,0.8745,Cosine,4657,-,-246.147,4657 (-) 17548,4657,17548,4657,FALSE,-,4657 (-) 17548
-1,0.8758,CH2N3O:C3H492,0.8758,Cosine,2143,-,-72.021,4657 (-) 2143,2143,4657,2143,FALSE,-,4657 (-) 2143
-1,0.9102,CH4N3:C3H6O,0.9102,Cosine,4657,-,-58.042,4657 (-) 7142,4657,7142,4657,FALSE,-,4657 (-) 7142
-1,0.8789,,0.8789,Cosine,4657,-,-174.126,4657 (-) 12909,4657,12909,4657,FALSE,-,4657 (-) 12909
-1,0.8579,,0.8579,Cosine,4657,-,-13.979,4657 (-) 5009,4657,5009,4657,FALSE,-,4657 (-) 5009
-1,0.889,,0.889,Cosine,4657,-,-188.105,4657 (-) 13585,4657,13585,4657,FALSE,-,4657 (-) 13585
-1,0.8603,,0.8603,Cosine,4657,-,-26.052,4657 (-) 12303,4657,12303,4657,FALSE,-,4657 (-) 12303
-1,0.8868,,0.8868,Cosine,4657,-,-130.063,4657 (-) 10515,4657,10515,4657,FALSE,-,4657 (-) 10515
-1,0.875,,0.875,Cosine,24128,-,-174.162,24128 (-) 37801,24128,37801,24128,FALSE,-,24128 (-) 37801
-1,0.8875,,0.8875,Cosine,23778,-,0.036,24128 (-) 23778,23778,24128,23778,FALSE,-,24128 (-) 23778
-1,0.855,,0.855,Cosine,24128,-,-114.104,24128 (-) 36538,24128,36538,24128,FALSE,-,24128 (-) 36538
-1,0.8584,C4H8,0.8584,Cosine,24128,-,-56.062,24128 (-) 32491,24128,32491,24128,FALSE,-,24128 (-) 32491
-1,0.8632,H2N3O:C2H4O2,0.8632,Cosine,21790,-,-60.021,24128 (-) 21790,21790,24128,21790,FALSE,-,24128 (-) 21790
-1,0.9121,,0.9121,Cosine,24128,-,-116.083,24128 (-) 33326,24128,33326,24128,FALSE,-,24128 (-) 33326
-1,0.8083,H3N4O:C2H5NO2,0.8083,Cosine,20981,-,-75.032,24128 (-) 20981,20981,24128,20981,FALSE,-,24128 (-) 20981
-1,0.8675,,0.8675,Cosine,24128,-,1.979,24128 (-) 27558,24128,27558,24128,FALSE,-,24128 (-) 27558
-1,0.8308,C2H4,0.8308,Cosine,24128,-,-28.031,24128 (-) 26627,24128,26627,24128,FALSE,-,24128 (-) 26627
-1,0.8481,C3H8,0.8481,Cosine,5777,-,-44.062,6608 (-) 5777,5777,6608,5777,FALSE,-,6608 (-) 5777
-1,0.8934,,0.8934,Cosine,6608,-,0.031,6608 (-) 8173,6608,8173,6608,FALSE,-,6608 (-) 8173
-1,0.8954,,0.8954,Cosine,17017,-,132.079,17017 (-) 18425,17017,18425,17017,FALSE,-,17017 (-) 18425
-1,0.9593,H2N3:C2H4O,0.9593,Cosine,17017,-,44.027,17017 (-) 19352,17017,19352,17017,FALSE,-,17017 (-) 19352
-1,0.9348,,0.9348,Cosine,17017,-,-88.053,17017 (-) 18271,17017,18271,17017,FALSE,-,17017 (-) 18271
-1,0.9419,,0.9419,Cosine,17017,-,88.053,17017 (-) 17496,17017,17496,17017,FALSE,-,17017 (-) 17496
-1,0.9465,H2N3:C2H4O,0.9465,Cosine,17017,-,-44.026,17017 (-) 20979,17017,20979,17017,FALSE,-,17017 (-) 20979
-1,0.9553,H2N3:C2H4O,0.9553,Cosine,17017,-,44.026,17017 (-) 17692,17017,17692,17017,FALSE,-,17017 (-) 17692
-1,0.9683,,0.9683,Cosine,17017,-,0,17017 (-) 20217,17017,20217,17017,FALSE,-,17017 (-) 20217
