row ID,Tributylamine,Diuron,Flufenacet,Metoprolol acid,Triphenylphosphate,Imidacloprid,5-Metolachlor,Tris(2-chloroetyl)phosphate,N-Butylbenzesulfonamide,Metformin,Terbutryn,Losartan,N-Guanylurea,Bezafibrat,Tris(2-chloroisopropyl)phosphate,2-Hydroxybenzothiazole,Valsartansaeure,Sulfamethoxazol,Primidone,"1,3-Diphenylguanidine",Venlafaxine,Metoprolol Tartrate,o-Desmethylvenlafaxine,DEET,Irbesartan,Olmesartan,Carbamazepine,Gabapentin-Lactam,Caffeine,5-Methyl-benzotriazol,Hexa(methoxymethyl)melamine,Hydrochlorothiazid,Benzothiazol-2-sulfonic acid,Valsartan,Benzotriazol,Formyaminoantipyrin
S9,0,0,0,0,0,0,0,0,0,0.000484612,0,0,0,0,0,0,0.011509278,0.005207145,0.012642136,0.041454535,0.005398063,0.011702372,0.014604006,0.005541213,0.00963753,0.012033166,0.023536245,0.018607544,0.452071894,0.018459344,0.014451182,0,0.295857641,0.076483898,0.043791836,0.134055531
S10,0,0,0,0,0,0,0,0,0,0.000491214,0,0,0,0,0,0,0.006834854,0.003201372,0.008872866,0.00669924,0.002997811,0.005604415,0.009967288,0.004717792,0.005546929,0.008251385,0.017447418,0.013891172,0.099004422,0.012297861,0.011272963,0,0.094111254,0.048628439,0.026961744,0.095536645
S11,0,0,0,0,0,0,0,0,0,0.000424055,0,0,0,0,0,0,0.007406396,0.002945887,0.00905039,0.007150158,0.002983049,0.004655687,0.009703331,0.003828667,0.005350771,0.008597703,0.01670493,0.013129935,0.026972518,0.012325009,0.046968256,0,0.070857071,0.043178505,0.028352719,0.095606826
S12,0,0,0,0,0,0,0,0,0,0.000399135,0,0,0,0,0,0,0.008150096,0.003059213,0.009220459,0.007548503,0.004173829,0.004555683,0.011736246,0,0.008195645,0.010449761,0.017105658,0.026749386,0.022218885,0.014396398,0.110782679,0,0.066370073,0.031887873,0.028117266,0.078776032
Erpe,0,0,0,0,0.023045658,0.025220053,0,0.02450733,0,0.000848456,0.012501855,0.06873873,0.035670428,0.112826529,0,0,0.014946389,0.101182985,0.092724026,0.032110005,0.127638255,0.159456435,0.232405787,0.130382719,0.396277844,0.589916228,0.343308531,0.058170312,0.038033848,0.729855357,0.598659876,2.093244408,0.238681887,3.655183243,1.26961033,1.33460989
S13,0,0,0,0,0,0,0,0,0,0.00061417,0.000935559,0.007111283,0,0.006545923,0,0,0.016788113,0.011033193,0.023032802,0.011114427,0.018510885,0.034557303,0.042692344,0.015582018,0.03655123,0.055466643,0.041081141,0.022774823,0.030989909,0.064149834,0.134794919,0.120917153,0.13029603,0.419411223,0.128193134,0.385801294
Dahme,0,0,0,0,0,0,0,0,0,0.000402619,0,0,0,0,0,0,0.006249832,0.002665969,0.009973395,0.004109513,0.002054088,0.002943184,0.007911823,0.005021321,0.004166638,0.008722576,0.017100138,0.015719015,0.030144993,0.015158578,0.049695317,0,0.077683561,0.044622947,0.027481545,0.099221931
Wuhle,0.001661062,0,0,0,0,0,0,0,0,0.001077738,0.002154424,0,0,0,0,0.102027194,0,0,0.005295849,0.12116803,0.000218568,0.001051025,0.000392509,0.005748121,0,0.001637901,0.006003621,0,0.149073629,0.068820423,0.166740445,0,0.79914126,0.019440324,0.034900445,0.026046949
S14,0,0,0,0,0,0,0,0,0,0.000393126,0,0.0032267,0,0.00368127,0,0,0.00433378,0.006474698,0.01506496,0.009315719,0.00795156,0.014371018,0.020653247,0.007443587,0.015916108,0.026159631,0.027740597,0.018875176,0.021567663,0.047487896,0.086869537,0.035971423,0.081854626,0.17367213,0.078845667,0.214564337
S15,0,0,0,0,0,0,0,0,0,0.000409806,0.000815114,0.003212355,0,0.00350427,0,0,0.010872112,0.005036152,0.011340645,0.013243653,0.007621822,0.013186593,0.017530555,0.006876444,0.014746413,0.021421451,0.02452835,0.014295092,0.024690984,0.065524797,0.127847489,0.028034835,0.124795752,0.146767106,0.162362539,0.147777972
S16,0,0,0,0,0,0,0,0.00896212,0,0.000482411,0.001036207,0.003717417,0,0.003710999,0,0,0.010572121,0.00671698,0.016273477,0.013350032,0.0106674,0.018123059,0.024881151,0.009102962,0.018169884,0.028881544,0.030214842,0.017310229,0.058095245,0.066097908,0.127883015,0.032191591,0.162856418,0.163749752,0.214390016,0.244496222
